month,year,scenario,pressure,temperature,extraction,recharge
35,2.9166666666666665,Moderate over-extraction,72.0000000000001,241.07500000000016,15,8
36,3.0,Moderate over-extraction,71.2000000000001,240.82000000000016,15,8
37,3.0833333333333335,Moderate over-extraction,70.4000000000001,240.56500000000017,15,8
38,3.1666666666666665,Moderate over-extraction,69.60000000000011,240.31000000000017,15,8
39,3.25,Moderate over-extraction,68.80000000000011,240.05500000000018,15,8
40,3.3333333333333335,Moderate over-extraction,68.00000000000011,239.80000000000018,15,8
41,3.4166666666666665,Moderate over-extraction,67.20000000000012,239.5450000000002,15,8
42,3.5,Moderate over-extraction,66.40000000000012,239.2900000000002,15,8
43,3.5833333333333335,Moderate over-extraction,65.60000000000012,239.0350000000002,15,8
44,3.6666666666666665,Moderate over-extraction,64.80000000000013,238.7800000000002,15,8
45,3.75,Moderate over-extraction,64.00000000000013,238.5250000000002,15,8
46,3.8333333333333335,Moderate over-extraction,63.200000000000124,238.2700000000002,15,8
47,3.9166666666666665,Moderate over-extraction,62.40000000000012,238.0150000000002,15,8
48,4.0,Moderate over-extraction,61.600000000000115,237.76000000000022,15,8
49,4.083333333333333,Moderate over-extraction,60.80000000000011,237.50500000000022,15,8
50,4.166666666666667,Moderate over-extraction,60.00000000000011,237.25000000000023,15,8
51,4.25,Moderate over-extraction,59.2000000000001,236.99500000000023,15,8
52,4.333333333333333,Moderate over-extraction,58.4000000000001,236.74000000000024,15,8
53,4.416666666666667,Moderate over-extraction,57.600000000000094,236.48500000000024,15,8
54,4.5,Moderate over-extraction,56.80000000000009,236.23000000000025,15,8
55,4.583333333333333,Moderate over-extraction,56.000000000000085,235.97500000000025,15,8
56,4.666666666666667,Moderate over-extraction,55.20000000000008,235.72000000000025,15,8
57,4.75,Moderate over-extraction,54.40000000000008,235.46500000000026,15,8
58,4.833333333333333,Moderate over-extraction,53.60000000000007,235.21000000000026,15,8
59,4.916666666666667,Moderate over-extraction,52.80000000000007,234.95500000000027,15,8
60,5.0,Moderate over-extraction,52.000000000000064,234.70000000000027,15,8
61,5.083333333333333,Moderate over-extraction,51.20000000000006,234.44500000000028,15,8
62,5.166666666666667,Moderate over-extraction,50.400000000000055,234.19000000000028,15,8
63,5.25,Moderate over-extraction,49.60000000000005,233.9350000000003,15,8
64,5.333333333333333,Moderate over-extraction,48.80000000000005,233.6800000000003,15,8
65,5.416666666666667,Moderate over-extraction,48.00000000000004,233.4250000000003,15,8
66,5.5,Moderate over-extraction,47.20000000000004,233.1700000000003,15,8
67,5.583333333333333,Moderate over-extraction,46.400000000000034,232.9150000000003,15,8
68,5.666666666666667,Moderate over-extraction,45.60000000000003,232.6600000000003,15,8
69,5.75,Moderate over-extraction,44.800000000000026,232.4050000000003,15,8
70,5.833333333333333,Moderate over-extraction,44.00000000000002,232.15000000000032,15,8
71,5.916666666666667,Moderate over-extraction,43.20000000000002,231.89500000000032,15,8
72,6.0,Moderate over-extraction,42.40000000000001,231.64000000000033,15,8
73,6.083333333333333,Moderate over-extraction,41.60000000000001,231.38500000000033,15,8
74,6.166666666666667,Moderate over-extraction,40.800000000000004,231.13000000000034,15,8
75,6.25,Moderate over-extraction,40.0,230.87500000000034,15,8
76,6.333333333333333,Moderate over-extraction,39.199999999999996,230.62000000000035,15,8
77,6.416666666666667,Moderate over-extraction,38.39999999999999,230.36500000000035,15,8
78,6.5,Moderate over-extraction,37.59999999999999,230.11000000000035,15,8
79,6.583333333333333,Moderate over-extraction,36.79999999999998,229.85500000000036,15,8
80,6.666666666666667,Moderate over-extraction,35.99999999999998,229.60000000000036,15,8
81,6.75,Moderate over-extraction,35.199999999999974,229.34500000000037,15,8
82,6.833333333333333,Moderate over-extraction,34.39999999999997,229.09000000000037,15,8
83,6.916666666666667,Moderate over-extraction,33.599999999999966,228.83500000000038,15,8
84,7.0,Moderate over-extraction,32.79999999999996,228.58000000000038,15,8
85,7.083333333333333,Moderate over-extraction,31.99999999999996,228.3250000000004,15,8
86,7.166666666666667,Moderate over-extraction,31.19999999999996,228.0700000000004,15,8
87,7.25,Moderate over-extraction,30.39999999999996,227.8150000000004,15,8
88,7.333333333333333,Moderate over-extraction,29.59999999999996,227.5600000000004,15,8
89,7.416666666666667,Moderate over-extraction,28.799999999999958,227.3050000000004,15,8
90,7.5,Moderate over-extraction,27.999999999999957,227.0500000000004,15,8
91,7.583333333333333,Moderate over-extraction,27.199999999999957,226.7950000000004,15,8
92,7.666666666666667,Moderate over-extraction,26.399999999999956,226.54000000000042,15,8
93,7.75,Moderate over-extraction,25.599999999999955,226.28500000000042,15,8
94,7.833333333333333,Moderate over-extraction,24.799999999999955,226.03000000000043,15,8
95,7.916666666666667,Moderate over-extraction,23.999999999999954,225.77500000000043,15,8
96,8.0,Moderate over-extraction,23.199999999999953,225.52000000000044,15,8
97,8.083333333333334,Moderate over-extraction,22.399999999999952,225.26500000000044,15,8
98,8.166666666666666,Moderate over-extraction,21.59999999999995,225.01000000000045,15,8
99,8.25,Moderate over-extraction,20.79999999999995,224.75500000000045,15,8
100,8.333333333333334,Moderate over-extraction,19.99999999999995,224.50000000000045,15,8
101,8.416666666666666,Moderate over-extraction,19.19999999999995,224.24500000000046,15,8
102,8.5,Moderate over-extraction,18.39999999999995,223.99000000000046,15,8
103,8.583333333333334,Moderate over-extraction,17.599999999999948,223.73500000000047,15,8
104,8.666666666666666,Moderate over-extraction,16.799999999999947,223.48000000000047,15,8
105,8.75,Moderate over-extraction,15.999999999999948,223.22500000000048,15,8
106,8.833333333333334,Moderate over-extraction,15.19999999999995,222.97000000000048,15,8
107,8.916666666666666,Moderate over-extraction,14.39999999999995,222.7150000000005,15,8
108,9.0,Moderate over-extraction,13.599999999999952,222.4600000000005,15,8
109,9.083333333333334,Moderate over-extraction,12.799999999999953,222.2050000000005,15,8
110,9.166666666666666,Moderate over-extraction,11.999999999999954,221.9500000000005,15,8
111,9.25,Moderate over-extraction,11.199999999999955,221.6950000000005,15,8
112,9.333333333333334,Moderate over-extraction,10.399999999999956,221.4400000000005,15,8
113,9.416666666666666,Moderate over-extraction,9.599999999999957,221.1850000000005,15,8
114,9.5,Moderate over-extraction,8.799999999999958,220.93000000000052,15,8
115,9.583333333333334,Moderate over-extraction,7.999999999999958,220.67500000000052,15,8
116,9.666666666666666,Moderate over-extraction,7.199999999999958,220.42000000000053,15,8
117,9.75,Moderate over-extraction,6.399999999999959,220.16500000000053,15,8
118,9.833333333333334,Moderate over-extraction,5.599999999999959,219.91000000000054,15,8
119,9.916666666666666,Moderate over-extraction,4.799999999999959,219.65500000000054,15,8
120,10.0,Moderate over-extraction,3.9999999999999587,219.40000000000055,15,8
0,0.0,Aggressive extraction,100.0,250.0,22,5
1,0.08333333333333333,Aggressive extraction,98.49,249.52499999999998,22,5
2,0.16666666666666666,Aggressive extraction,96.97999999999999,249.04999999999995,22,5
3,0.25,Aggressive extraction,95.46999999999998,248.57499999999993,22,5
4,0.3333333333333333,Aggressive extraction,93.95999999999998,248.0999999999999,22,5
5,0.4166666666666667,Aggressive extraction,92.44999999999997,247.6249999999999,22,5
6,0.5,Aggressive extraction,90.93999999999997,247.14999999999986,22,5
7,0.5833333333333334,Aggressive extraction,89.42999999999996,246.67499999999984,22,5
8,0.6666666666666666,Aggressive extraction,87.91999999999996,246.19999999999982,22,5
9,0.75,Aggressive extraction,86.40999999999995,245.7249999999998,22,5
10,0.8333333333333334,Aggressive extraction,84.89999999999995,245.24999999999977,22,5
11,0.9166666666666666,Aggressive extraction,83.38999999999994,244.77499999999975,22,5
12,1.0,Aggressive extraction,81.87999999999994,244.29999999999973,22,5
13,1.0833333333333333,Aggressive extraction,80.36999999999993,243.8249999999997,22,5
14,1.1666666666666667,Aggressive extraction,78.85999999999993,243.34999999999968,22,5
15,1.25,Aggressive extraction,77.34999999999992,242.87499999999966,22,5
16,1.3333333333333333,Aggressive extraction,75.83999999999992,242.39999999999964,22,5
17,1.4166666666666667,Aggressive extraction,74.32999999999991,241.9249999999996,22,5
18,1.5,Aggressive extraction,72.81999999999991,241.4499999999996,22,5
19,1.5833333333333333,Aggressive extraction,71.3099999999999,240.97499999999957,22,5
20,1.6666666666666667,Aggressive extraction,69.7999999999999,240.49999999999955,22,5
21,1.75,Aggressive extraction,68.28999999999989,240.02499999999952,22,5
22,1.8333333333333333,Aggressive extraction,66.77999999999989,239.5499999999995,22,5
23,1.9166666666666667,Aggressive extraction,65.26999999999988,239.07499999999948,22,5
24,2.0,Aggressive extraction,63.759999999999884,238.59999999999945,22,5
25,2.0833333333333335,Aggressive extraction,62.249999999999886,238.12499999999943,22,5
26,2.1666666666666665,Aggressive extraction,60.73999999999989,237.6499999999994,22,5
27,2.25,Aggressive extraction,59.22999999999989,237.1749999999994,22,5
28,2.3333333333333335,Aggressive extraction,57.71999999999989,236.69999999999936,22,5
29,2.4166666666666665,Aggressive extraction,56.209999999999894,236.22499999999934,22,5
30,2.5,Aggressive extraction,54.699999999999896,235.74999999999932,22,5
31,2.5833333333333335,Aggressive extraction,53.1899999999999,235.2749999999993,22,5
32,2.6666666666666665,Aggressive extraction,51.6799999999999,234.79999999999927,22,5
33,2.75,Aggressive extraction,50.1699999999999,234.32499999999925,22,5
34,2.8333333333333335,Aggressive extraction,48.659999999999904,233.84999999999923,22,5
35,2.9166666666666665,Aggressive extraction,47.149999999999906,233.3749999999992,22,5
